Element,Count
automated testing tools,1
terraform,1
azure functions,1
titan graph db,1
cloud foundry,1
cicd pipeline,1
english,1
sf sales cloud,1
swift android,1
detox,1
xctest,1
system programming,1
ui/ux photoshop design.  backend api - json,1
programming skills,1
risk assessment,1
sales process,1
security testing,1
opentext,1
otds,1
itsm,1
opentext communication,1
api levels,1
xml design,1
dl,1
computer vision,1
hardware architecture,1
dl frameworks,1
ooad,1
bios,1
linux development,1
unix internals,1
flat files,1
hana,1
stored procedures,1
query optimization,1
database maintenance,1
plm,1
object - oriented development,1
json / xml,1
android ui design,1
prototype,1
analog,1
ui5,1
sap technical development,1
data center,1
phython,1
cyber security,1
vx works,1
cybersecurity,1
cluster configuration,1
rhel os,1
demand management,1
package management,1
report development,1
c language,1
oracle sql,1
sap business objects data services,1
sap business objects,1
data services,1
business process,1
c++ design,1
business objects,1
object - oriented php,1
object oriented concepts,1
webtech,1
operating systems,1
influx,1
common language runtime,1
wpf,1
mongo db,1
rup,1
angular.js,1
api integration,1
frontend development,1
express js,1
ecmascript,1
cache,1
oidc,1
sso,1
cloud storage,1
cloud services,1
sap bods,1
bapi,1
sap businessobjects data services,1
yml,1
restful services,1
microservices architecture,1
material ui,1
refrigeration,1
mvc architecture,1
ireport,1
six sigma,1
pmp,1
ventilation,1
software development lifecycle,1
microsoft windows server administration,1
microsoft windows operating systems,1
c programming language,1
senior developer,1
socket programming,1
jwt,1
web application development,1
sap bw,1
scrum agile methodology,1
java streams,1
grafana,1
k8s,1
aix,1
head business development,1
security development lifecycle,1
freebsd,1
splunk,1
saas concepts,1
oracle bi publisher,1
otbi,1
bpel,1
entity frame work,1
j query,1
accessibility,1
test automation,1
